"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","55.8","%","386561","215576","59.6","51.9"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","54.6","%","2223044","1212754","56.1","53"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Female","16-64","All","68.1","%","18288254","12449491","68.4","67.8"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","85.5","%","10967790","9372082","85.8","85.1"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","81","%","142795","115704","86.3","75.8"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","80.1","%","938539","751334","82.1","78"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","79.7","%","401650","320315","82.9","76.6"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","78.4","%","354965","278300","81.8","75"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","79.7","%","1837949","1465653","81.2","78.3"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","84.6","%","12814535","10845290","84.9","84.3"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","81.6","%","5753068","4694013.5","82","81.1"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","68.5","%","58431.5","40006","77.9","59.1"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","68.3","%","230502.5","157496.5","73","63.6"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","71.2","%","126373","90033.5","77.7","64.8"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","65.5","%","60331","39524","75","56"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","68.8","%","475638","327060","72.1","65.5"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 3","80.6","%","6230822","5022336.5","81","80.2"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","73.6","%","6013809","4425868.5","74.1","73.1"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","64.7","%","57878.5","37470","74.3","55.2"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","57","%","257700.5","146763.5","61.6","52.3"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","62.1","%","132911","82485.5","68.8","55.3"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","60.2","%","60135","36213","70","50.4"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","59.6","%","508625","302932","62.9","56.2"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Level 2","72.5","%","6525386","4730097.5","73","72"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","66.6","%","4142114","2758489","67.2","66"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","48.9","%","32083","15678","61.9","35.8"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","53.5","%","184245","98587","58.9","48.1"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","54.8","%","99630","54590","62.9","46.7"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","45.4","%","48685","22086","56.7","34"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","52.4","%","364643","190941","56.4","48.4"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","?","%","?","?","?","?"
