region,lo,sex,grp,det,yr,n
East Midlands,35,Male,Black,Caribbean,2011,893
East Midlands,35,Male,Black,Other Black,2011,312
East Midlands,35,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,415
East Midlands,35,Male,Mixed,White and Asian,2011,497
East Midlands,35,Male,Mixed,White and Black African,2011,223
East Midlands,35,Male,Mixed,White and Black Caribbean,2011,912
East Midlands,35,Male,Other,Any other ethnic group,2011,1062
East Midlands,35,Male,Other,Arab,2011,648
East Midlands,35,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,117936
East Midlands,35,Male,White,Gypsy or Irish Traveller,2011,110
East Midlands,35,Male,White,Irish,2011,804
East Midlands,35,Male,White,Other White,2011,6462
East Midlands,40,Female,Asian,Bangladeshi,2011,305
East Midlands,40,Female,Asian,Chinese,2011,724
East Midlands,40,Female,Asian,Indian,2011,6348
East Midlands,40,Female,Asian,Other Asian,2011,1672
East Midlands,40,Female,Asian,Pakistani,2011,1663
East Midlands,40,Female,Black,African,2011,1632
East Midlands,40,Female,Black,Caribbean,2011,1511
East Midlands,40,Female,Black,Other Black,2011,532
East Midlands,40,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,409
East Midlands,40,Female,Mixed,White and Asian,2011,440
East Midlands,40,Female,Mixed,White and Black African,2011,181
East Midlands,40,Female,Mixed,White and Black Caribbean,2011,960
East Midlands,40,Female,Other,Any other ethnic group,2011,495
East Midlands,40,Female,Other,Arab,2011,184
East Midlands,40,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,146900
East Midlands,40,Female,White,Gypsy or Irish Traveller,2011,98
East Midlands,40,Female,White,Irish,2011,1028
East Midlands,40,Female,White,Other White,2011,4820
East Midlands,40,Male,Asian,Bangladeshi,2011,442
East Midlands,40,Male,Asian,Chinese,2011,633
East Midlands,40,Male,Asian,Indian,2011,5899
East Midlands,40,Male,Asian,Other Asian,2011,1381
East Midlands,40,Male,Asian,Pakistani,2011,1707
East Midlands,40,Male,Black,African,2011,1813
East Midlands,40,Male,Black,Caribbean,2011,1477
East Midlands,40,Male,Black,Other Black,2011,438
East Midlands,40,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,338
East Midlands,40,Male,Mixed,White and Asian,2011,515
East Midlands,40,Male,Mixed,White and Black African,2011,217
East Midlands,40,Male,Mixed,White and Black Caribbean,2011,879
East Midlands,40,Male,Other,Any other ethnic group,2011,609
East Midlands,40,Male,Other,Arab,2011,444
East Midlands,40,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,143475
East Midlands,40,Male,White,Gypsy or Irish Traveller,2011,132
East Midlands,40,Male,White,Irish,2011,1017
East Midlands,40,Male,White,Other White,2011,4565
East Midlands,45,Female,Asian,Bangladeshi,2011,188
East Midlands,45,Female,Asian,Chinese,2011,721
East Midlands,45,Female,Asian,Indian,2011,5954
East Midlands,45,Female,Asian,Other Asian,2011,1120
East Midlands,45,Female,Asian,Pakistani,2011,1023
East Midlands,45,Female,Black,African,2011,1068
East Midlands,45,Female,Black,Caribbean,2011,1919
East Midlands,45,Female,Black,Other Black,2011,542
East Midlands,45,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,370
East Midlands,45,Female,Mixed,White and Asian,2011,395
East Midlands,45,Female,Mixed,White and Black African,2011,150
East Midlands,45,Female,Mixed,White and Black Caribbean,2011,718
East Midlands,45,Female,Other,Any other ethnic group,2011,381
East Midlands,45,Female,Other,Arab,2011,123
East Midlands,45,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,151397
East Midlands,45,Female,White,Gypsy or Irish Traveller,2011,97
East Midlands,45,Female,White,Irish,2011,1084
East Midlands,45,Female,White,Other White,2011,4101
East Midlands,45,Male,Asian,Bangladeshi,2011,305
East Midlands,45,Male,Asian,Chinese,2011,566
East Midlands,45,Male,Asian,Indian,2011,5489
East Midlands,45,Male,Asian,Other Asian,2011,1067
East Midlands,45,Male,Asian,Pakistani,2011,1039
East Midlands,45,Male,Black,African,2011,1165
East Midlands,45,Male,Black,Caribbean,2011,2005
East Midlands,45,Male,Black,Other Black,2011,619
East Midlands,45,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,293
East Midlands,45,Male,Mixed,White and Asian,2011,359
East Midlands,45,Male,Mixed,White and Black African,2011,194
East Midlands,45,Male,Mixed,White and Black Caribbean,2011,779
East Midlands,45,Male,Other,Any other ethnic group,2011,499
East Midlands,45,Male,Other,Arab,2011,257
East Midlands,45,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,149273
East Midlands,45,Male,White,Gypsy or Irish Traveller,2011,108
East Midlands,45,Male,White,Irish,2011,1227
East Midlands,45,Male,White,Other White,2011,3637
East Midlands,50,Female,Asian,Bangladeshi,2011,115
East Midlands,50,Female,Asian,Chinese,2011,596
East Midlands,50,Female,Asian,Indian,2011,5827
East Midlands,50,Female,Asian,Other Asian,2011,970
East Midlands,50,Female,Asian,Pakistani,2011,849
East Midlands,50,Female,Black,African,2011,674
East Midlands,50,Female,Black,Caribbean,2011,1325
East Midlands,50,Female,Black,Other Black,2011,264
East Midlands,50,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,244
East Midlands,50,Female,Mixed,White and Asian,2011,258
East Midlands,50,Female,Mixed,White and Black African,2011,109
East Midlands,50,Female,Mixed,White and Black Caribbean,2011,447
East Midlands,50,Female,Other,Any other ethnic group,2011,370
East Midlands,50,Female,Other,Arab,2011,66
East Midlands,50,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,133134
East Midlands,50,Female,White,Gypsy or Irish Traveller,2011,89
East Midlands,50,Female,White,Irish,2011,1101
East Midlands,50,Female,White,Other White,2011,3391
East Midlands,50,Male,Asian,Bangladeshi,2011,229
East Midlands,50,Male,Asian,Chinese,2011,521
East Midlands,50,Male,Asian,Indian,2011,5799
East Midlands,50,Male,Asian,Other Asian,2011,762
East Midlands,50,Male,Asian,Pakistani,2011,923
East Midlands,50,Male,Black,African,2011,707
East Midlands,50,Male,Black,Caribbean,2011,1373
East Midlands,50,Male,Black,Other Black,2011,285
East Midlands,50,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,211
East Midlands,50,Male,Mixed,White and Asian,2011,291
East Midlands,50,Male,Mixed,White and Black African,2011,121
East Midlands,50,Male,Mixed,White and Black Caribbean,2011,475
East Midlands,50,Male,Other,Any other ethnic group,2011,409
East Midlands,50,Male,Other,Arab,2011,175
East Midlands,50,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,132248
East Midlands,50,Male,White,Gypsy or Irish Traveller,2011,94
East Midlands,50,Male,White,Irish,2011,1115
East Midlands,50,Male,White,Other White,2011,3158
East Midlands,55,Female,Asian,Bangladeshi,2011,168
East Midlands,55,Female,Asian,Chinese,2011,479
East Midlands,55,Female,Asian,Indian,2011,4986
East Midlands,55,Female,Asian,Other Asian,2011,764
East Midlands,55,Female,Asian,Pakistani,2011,709
East Midlands,55,Female,Black,African,2011,341
East Midlands,55,Female,Black,Caribbean,2011,772
East Midlands,55,Female,Black,Other Black,2011,97
East Midlands,55,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,178
East Midlands,55,Female,Mixed,White and Asian,2011,161
East Midlands,55,Female,Mixed,White and Black African,2011,77
East Midlands,55,Female,Mixed,White and Black Caribbean,2011,206
East Midlands,55,Female,Other,Any other ethnic group,2011,302
East Midlands,55,Female,Other,Arab,2011,47
East Midlands,55,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,122256
East Midlands,55,Female,White,Gypsy or Irish Traveller,2011,70
East Midlands,55,Female,White,Irish,2011,1336
East Midlands,55,Female,White,Other White,2011,2548
East Midlands,55,Male,Asian,Bangladeshi,2011,128
East Midlands,55,Male,Asian,Chinese,2011,367
East Midlands,55,Male,Asian,Indian,2011,5251
East Midlands,55,Male,Asian,Other Asian,2011,691
East Midlands,55,Male,Asian,Pakistani,2011,834
East Midlands,55,Male,Black,African,2011,346
East Midlands,55,Male,Black,Caribbean,2011,787
East Midlands,55,Male,Black,Other Black,2011,109
East Midlands,55,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,150
East Midlands,55,Male,Mixed,White and Asian,2011,138
East Midlands,55,Male,Mixed,White and Black African,2011,56
East Midlands,55,Male,Mixed,White and Black Caribbean,2011,293
East Midlands,55,Male,Other,Any other ethnic group,2011,393
East Midlands,55,Male,Other,Arab,2011,143
East Midlands,55,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,121184
East Midlands,55,Male,White,Gypsy or Irish Traveller,2011,75
East Midlands,55,Male,White,Irish,2011,1261
East Midlands,55,Male,White,Other White,2011,2228
East Midlands,60,Female,Asian,Bangladeshi,2011,108
East Midlands,60,Female,Asian,Chinese,2011,317
East Midlands,60,Female,Asian,Indian,2011,3681
East Midlands,60,Female,Asian,Other Asian,2011,514
East Midlands,60,Female,Asian,Pakistani,2011,458
East Midlands,60,Female,Black,African,2011,189
East Midlands,60,Female,Black,Caribbean,2011,519
East Midlands,60,Female,Black,Other Black,2011,58
East Midlands,60,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,112
East Midlands,60,Female,Mixed,White and Asian,2011,109
East Midlands,60,Female,Mixed,White and Black African,2011,55
East Midlands,60,Female,Mixed,White and Black Caribbean,2011,135
East Midlands,60,Female,Other,Any other ethnic group,2011,211
East Midlands,60,Female,Other,Arab,2011,35
East Midlands,60,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,136958
East Midlands,60,Female,White,Gypsy or Irish Traveller,2011,50
East Midlands,60,Female,White,Irish,2011,1417
East Midlands,60,Female,White,Other White,2011,1859
East Midlands,60,Male,Asian,Bangladeshi,2011,36
East Midlands,60,Male,Asian,Chinese,2011,276
East Midlands,60,Male,Asian,Indian,2011,3593
East Midlands,60,Male,Asian,Other Asian,2011,408
East Midlands,60,Male,Asian,Pakistani,2011,388
East Midlands,60,Male,Black,African,2011,181
East Midlands,60,Male,Black,Caribbean,2011,388
East Midlands,60,Male,Black,Other Black,2011,43
East Midlands,60,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,93
East Midlands,60,Male,Mixed,White and Asian,2011,107
East Midlands,60,Male,Mixed,White and Black African,2011,51
East Midlands,60,Male,Mixed,White and Black Caribbean,2011,185
East Midlands,60,Male,Other,Any other ethnic group,2011,230
East Midlands,60,Male,Other,Arab,2011,79
East Midlands,60,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,135630
East Midlands,60,Male,White,Gypsy or Irish Traveller,2011,59
East Midlands,60,Male,White,Irish,2011,1412
East Midlands,60,Male,White,Other White,2011,1457
East Midlands,65,Female,Asian,Bangladeshi,2011,83
East Midlands,65,Female,Asian,Chinese,2011,131
East Midlands,65,Female,Asian,Indian,2011,2543
East Midlands,65,Female,Asian,Other Asian,2011,293
East Midlands,65,Female,Asian,Pakistani,2011,292
East Midlands,65,Female,Black,African,2011,77
East Midlands,65,Female,Black,Caribbean,2011,591
East Midlands,65,Female,Black,Other Black,2011,67
East Midlands,65,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,115
East Midlands,65,Female,Mixed,White and Asian,2011,80
East Midlands,65,Female,Mixed,White and Black African,2011,31
East Midlands,65,Female,Mixed,White and Black Caribbean,2011,129
East Midlands,65,Female,Other,Any other ethnic group,2011,126
East Midlands,65,Female,Other,Arab,2011,12
East Midlands,65,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,111067
East Midlands,65,Female,White,Gypsy or Irish Traveller,2011,30
East Midlands,65,Female,White,Irish,2011,1424
East Midlands,65,Female,White,Other White,2011,1187
East Midlands,65,Male,Asian,Bangladeshi,2011,60
East Midlands,65,Male,Asian,Chinese,2011,150
East Midlands,65,Male,Asian,Indian,2011,2243
East Midlands,65,Male,Asian,Other Asian,2011,282
East Midlands,65,Male,Asian,Pakistani,2011,301
East Midlands,65,Male,Black,African,2011,90
East Midlands,65,Male,Black,Caribbean,2011,429
East Midlands,65,Male,Black,Other Black,2011,50
East Midlands,65,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,108
East Midlands,65,Male,Mixed,White and Asian,2011,98
East Midlands,65,Male,Mixed,White and Black African,2011,21
East Midlands,65,Male,Mixed,White and Black Caribbean,2011,124
East Midlands,65,Male,Other,Any other ethnic group,2011,151
East Midlands,65,Male,Other,Arab,2011,40
East Midlands,65,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,107464
East Midlands,65,Male,White,Gypsy or Irish Traveller,2011,38
East Midlands,65,Male,White,Irish,2011,1361
East Midlands,65,Male,White,Other White,2011,872
